Acne Vulgaris	disease	D000152	Skin Diseases [C17.800]					
Adjuvants, Immunologic	drug	D000276	Pharmacologic Actions [D27.505]/Physiological Effects of Drugs [D27.505.696]/Immunologic Factors [D27.505.696.477]					
Adrenal Fatigue	disease		Adrenal Gland Diseases [C19.053]					
Alcoholism	disease	D000437	Substance-Related Disorders [C25.775]					
Alzheimer Disease	disease	D000544	Central Nervous System Diseases [C10.228]/Brain Diseases [C10.228.140]					
Amenorrhea	disease	D000568	Pathologic Processes [C23.550]/Menstruation Disturbances [C23.550.568]					
Analgesics	drug	D000700	Pharmacologic Actions [D27.505]/Physiological Effects of Drugs [D27.505.696]	Pharmacologic Actions [D27.505]/Therapeutic Uses [D27.505.954]				
Anemia	disease	D000740	Hematologic Diseases [C15.378]					
Angina Pectoris	disease	D000787	Heart Diseases [C14.280]/Myocardial Ischemia [C14.280.647]	Vascular Diseases [C14.907]/Myocardial Ischemia [C14.907.585]	Signs and Symptoms [C23.888]/Pain [C23.888.646]/Chest Pain [C23.888.646.215]			
Angioplasty Support Agent	drug		Pharmacologic Actions [D27.505]/Therapeutic Uses [D27.505.954]/Surgical-Procedure Support Agents					
Anoxia	disease	D000860	Signs and Symptoms [C23.888]/Signs and Symptoms, Respiratory [C23.888.852]        					
Anthelmintics	drug	D000871	Therapeutic Uses [D27.505.954]/Anti-Infective Agents [D27.505.954.122]/Antiparasitic Agents [D27.505.954.122.250]					
Anti-Aging Agents	drug		 Specialty Uses of Chemicals [D27.720]/Protective Agents [D27.720.799]	Pharmacologic Actions [D27.505]/Physiological Effects of Drugs [D27.505.696]/Protective Agents [D27.505.696.706]				
Anti-Allergic Agents	drug	D018926	Therapeutic Uses [D27.505.954]					
Anti-Anxiety Agents	drug	D014151	Pharmacologic Actions [D27.505]/Physiological Effects of Drugs [D27.505.696]/Central Nervous System Depressants [D27.505.696.277]/Tranquilizing Agents [D27.505.696.277.950]					
Anti-Bacterial Agents	drug	D000900	Pharmacologic Actions [D27.505]/Therapeutic Uses [D27.505.954]					
Anti-HIV Agents	drug	D019380	Therapeutic Uses [D27.505.954]/Anti-Infective Agents [D27.505.954.122]/Antiviral Agents [D27.505.954.122.388]/Anti-Retroviral Agents [D27.505.954.122.388.077]        					
Anti-Infective Agents	drug	D000890	 Pharmacologic Actions [D27.505] /Therapeutic Uses [D27.505.954]					
Anti-Inflammatory Agents	drug	D000893	Pharmacologic Actions [D27.505]/Therapeutic Uses [D27.505.954]					
Anti-Obesity Agents	drug	D019440	Pharmacologic Actions [D27.505]/Therapeutic Uses [D27.505.954]/Central Nervous System Agents [D27.505.954.427]        					
Anti-Ulcer Agents	drug	D000897 	Pharmacologic Actions [D27.505]/Therapeutic Uses [D27.505.954]/Gastrointestinal Agents [D27.505.954.483] 					
Anticoagulants	drug	D000925	Pharmacologic Actions [D27.505]/Therapeutic Uses [D27.505.954]/Hematologic Agents [D27.505.954.502]					
Anticonvulsants	drug	D000927	Pharmacologic Actions [D27.505]/Therapeutic Uses [D27.505.954]/Central Nervous System Agents [D27.505.954.427] 					
Antidepressive Agents	drug	D000928	Pharmacologic Actions [D27.505]/Therapeutic Uses [D27.505.954]/Central Nervous System Agents [D27.505.954.427]/Psychotropic Drugs [D27.505.954.427.700]					
Antifungal Agents	drug	D000935	 Pharmacologic Actions [D27.505]/Therapeutic Uses [D27.505.954]					
Antiherpetic Agents	drug		Pharmacologic Actions [D27.505]/Therapeutic Uses [D27.505.954]/Anti-Infective Agents [D27.505.954.122]        					
